##
##
## Lista de abreviações que foram removidas até a versão mais recente do arquivo. 
## Várias outras já foram removidas antes da criação desta lista de mudanças.
##
##

## Substituições
Reg.  => Regente
Cons. => Conselheiro


###
Lista de outras substituições possíveis:
http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=28032008D%20493460000

Almirante	Alm.
Arquiteto	Arqt.
Brigadeiro	Brig.
Capitão	Cap.
Comandante	Cmte.
Comendador	Comend.
Comissário	Comiss.
Conselheiro	Cons.
Coronel	Cel.
Deputado	Dep.
Desembargador	Desemb.
Doutor	Dr.
Doutora	Dra.
Embaixador	Emb.
Engenheiro	Eng.
Filho	F.º
General	Gal.
Governador	Gov.
Jornalista	Jorn.
Júnior	Jr.
Major	Maj.
Marechal	Mal.
Ministro	Min.
Madre	Me.
Monsenhor	Mons.
Neto	N.º
Padre	Pe.
Prefeito	Pref.
Presidente	Pres.
Professor	Prof.
Professora	Profa.
Reverendo	Rev.
São	S.
Santo	Sto.
Sargento	Sarg.
Senador	Sen.
Senhor	Sr.
Senhora	Sra.
Sobrinho	Sob.
Soldado	Sold.
Tenente	Ten.
